Student ID,Decision,Fall Approved Work Period / Faculty,Winter Approved Work Period / Faculty,Summer Approved Work Period / Faculty
260578603,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260578728,Accepted,28-Aug-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,30-Apr-2017 to 02-Sep-2017 / ED
260578730,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260578897,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,,
260578929,Accepted,28-Aug-2016 to 31-Dec-2016 / NU,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
260579058,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 /
260579179,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260579345,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,,
260579422,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260579464,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260579486,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,,
260579554,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260579829,Accepted,28-Aug-2016 to 31-Dec-2016 / MG,01-Jan-2017 to 29-Apr-2017 / MG,
260579959,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260580134,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260580145,Accepted,28-Aug-2016 to 31-Dec-2016 / MG,,
260580151,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260580239,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260580315,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260580401,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260580444,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,
260580527,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260580618,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260580645,Refused,,,
260580660,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260580694,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260580896,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260580944,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260581292,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260581313,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260581366,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260581375,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260581456,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260581599,Refused,,,
260581625,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260581795,Accepted,15-Aug-2016 to 31-Dec-2016 / MU,01-Jan-2017 to 29-Apr-2017 / MU,
260582099,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260582449,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260582599,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260582851,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260582970,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260583153,Accepted,28-Aug-2016 to 31-Dec-2016 / MU,01-Jan-2017 to 29-Apr-2017 / MU,
260583250,Accepted,02-Oct-2016 to 31-Dec-2016 / AR,,
260583430,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260583563,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260583951,Accepted,15-Aug-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,
260583974,Accepted,02-Oct-2016 to 31-Dec-2016 / GR,,
260584455,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,,
260584514,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260584589,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260584646,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260584781,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260584910,Accepted,02-Oct-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,
260585055,Refused,,,
260585171,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260585192,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260585207,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,
260585240,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260585418,Accepted,02-Oct-2016 to 31-Dec-2016 / GR,,
260585590,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 /
260585769,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260585851,Accepted,02-Oct-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260585962,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260586039,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260586111,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260586590,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260586688,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,,
260586892,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,,
260587126,Accepted,28-Aug-2016 to 31-Dec-2016 / PO,01-Jan-2017 to 29-Apr-2017 / PO,30-Apr-2017 to 02-Sep-2017 / PO
260587231,Accepted,28-Aug-2016 to 31-Dec-2016 / NU,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
260587300,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260587366,Accepted,15-Aug-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,
260587398,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260587406,Accepted,28-Aug-2016 to 31-Dec-2016 / NU,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
260587898,Refused,,,
260588029,Accepted,15-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260588536,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,
260588588,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260588660,Refused,,,
260588795,Accepted,15-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,
260589103,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,
260589410,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260590887,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260591057,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260592300,Accepted,06-Nov-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260593248,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260593321,Accepted,28-Aug-2016 to 31-Dec-2016 / PO,01-Jan-2017 to 29-Apr-2017 / PO,30-Apr-2017 to 02-Sep-2017 / PO
260594390,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,,
260595252,Accepted,28-Aug-2016 to 31-Dec-2016 / AS,01-Jan-2017 to 29-Apr-2017 / AS,30-Apr-2017 to 02-Sep-2017 / AS
260599497,Refused,,,
260600288,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 /
260600450,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260600910,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,,
260601095,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260601242,Accepted,02-Oct-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260601818,Refused,,,
260601821,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260602312,Accepted,15-Aug-2016 to 31-Dec-2016 / GR,,
260602421,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,,
260602583,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260602619,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260602620,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260602627,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260602676,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260602893,Accepted,,01-Jan-2017 to 29-Apr-2017 / MG,30-Apr-2017 to 02-Sep-2017 / MG
260603005,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260603080,Refused,,,
260603282,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260603454,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260603554,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260603738,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260603791,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260604050,Refused,,,
260604281,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260604334,Accepted,,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260604362,Accepted,15-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260604884,Refused,,,
260604973,Accepted,15-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,
260604982,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260605083,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260605161,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260605174,Refused,,,
260605184,Refused,,,
260605190,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260605275,Refused,,,
260605341,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260605345,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260605347,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,,
260605464,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260605824,Refused,,,
260605828,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260605904,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260606046,Accepted,28-Aug-2016 to 31-Dec-2016 / MU,01-Jan-2017 to 29-Apr-2017 / MU,30-Apr-2017 to 02-Sep-2017 / MU
260606149,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260606327,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 /
260606386,Accepted,,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260606450,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,
260606511,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260606533,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260606546,Accepted,,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260606551,Accepted,,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260606608,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260606673,Refused,,,
260606722,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260606742,Accepted,15-Aug-2016 to 31-Dec-2016 / NU,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
260606764,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260606835,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,,
260606848,Refused,,,
260606883,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260606984,Accepted,06-Nov-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260606997,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260607130,Refused,,,
260607172,Accepted,15-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260607271,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260607292,Accepted,28-Aug-2016 to 31-Dec-2016 / MD,01-Jan-2017 to 29-Apr-2017 / MD,30-Apr-2017 to 02-Sep-2017 / MD
260607331,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,
260607474,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260607514,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260607572,Accepted,,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260607594,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260607599,Refused,,,
260607832,Accepted,15-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,
260607833,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,
260607945,Accepted,15-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,
260608003,Refused,,,
260608193,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260608446,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260608508,Accepted,02-Oct-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,30-Apr-2017 to 02-Sep-2017 / ED
260608513,Accepted,,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260608569,Accepted,06-Nov-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260608596,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,,
260608722,Accepted,28-Aug-2016 to 31-Dec-2016 / ED,,
260608755,Accepted,,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260608769,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260608884,Refused,,,
260608896,Accepted,28-Aug-2016 to 31-Dec-2016 / AS,01-Jan-2017 to 29-Apr-2017 / AS,30-Apr-2017 to 02-Sep-2017 / AS
260608925,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260608926,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260609086,Refused,,,
260609099,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260609147,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 /,
260609335,Refused,,,
260609362,Refused,,,
260609518,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260609538,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260609605,Refused,,,
260609654,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,30-Apr-2017 to 02-Sep-2017 / EN
260609989,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260610050,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260610131,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260610299,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260610323,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260610348,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260610376,Refused,,,
260610440,Accepted,02-Oct-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 /,30-Apr-2017 to 02-Sep-2017 /
260610552,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260610561,Accepted,15-Aug-2016 to 31-Dec-2016 / MG,01-Jan-2017 to 29-Apr-2017 / MG,30-Apr-2017 to 02-Sep-2017 / MG
260610572,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260610723,Accepted,15-Aug-2016 to 31-Dec-2016 / ED,01-Jan-2017 to 29-Apr-2017 / ED,30-Apr-2017 to 02-Sep-2017 / ED
260611016,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260611086,Accepted,02-Oct-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260611196,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,,
260611261,Refused,,,
260611266,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260611301,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260611352,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260611495,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260611581,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260611601,Accepted,28-Aug-2016 to 31-Dec-2016 / EN,01-Jan-2017 to 29-Apr-2017 / EN,
260611774,Accepted,06-Nov-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260611801,Refused,,,
260611822,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260611837,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,,
260611943,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260611948,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260611986,Accepted,,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
260612000,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612108,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260612120,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612225,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260612279,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260612281,Refused,,,
260612316,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,,
260612455,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612457,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,
260612682,Accepted,15-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260612708,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612744,Accepted,06-Nov-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,
260612748,Accepted,02-Oct-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612867,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260612870,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260612873,Accepted,,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
260612884,Accepted,28-Aug-2016 to 31-Dec-2016 / SC,01-Jan-2017 to 29-Apr-2017 / SC,30-Apr-2017 to 02-Sep-2017 / SC
